"%d Review(s)","%d Αξιολόγηση(εις)"
"%s Review(s)","%s Αξιολόγηση(εις)"
"(Posted on %s)","(Αναρτήθηκε στις %s)"
"My Recent Reviews","Οι Πρόσφατες Αξιολογήσεις μου"
"Name","Όνομα"
"Name in Store","Το Όνομά σας στο Κατάστημα"
"New Review","Νέα Αξιολόγηση"
"Nickname","Ψευδώνυμο"
"Nickname can\'t be empty","Το πεδίο ""Ψευδώνυμο"" δεν πρέπει να είναι άδειο"
"Not Approved","Δεν Εγκρίνεται"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Μόνο οι εγγεγραμμένοι χρήστες μπορούν να γράψουν σχόλια. Παρακαλούμε, <a href=""%s"">Συνδεθείτε</a>ή<a href=""%s"">Εγγραφείτε</a>"
"Pending","Εκκρεμεί"
"Pending Reviews","Αξιολογήσεις σε Αναμονή"
"Pending Reviews of Customer `%s`","Εκκρεμείς Αξιολογήσεις του Πελάτη `%s`"
"Please select a product","Παρακαλούμε επιλέξτε ένα προϊόν"
"Please select one of each of the ratings above","Παρακαλώ επιλέξτε ένα από το καθένα από τις παραπάνω βαθμολογίες"
"Posted By","Αναρτήθηκε από"
"Price","Τιμή"
"Product","Προϊόν"
"Product Name","Όνομα Προϊόντος"
"Product Rating","Βαθμολογία Προϊόντος"
"Product Rating:","Βαθμολογία Προϊόντος:"
"Product Review (submitted on %s):","Αξιολόγηση Προϊόντος (υποβλήθηκε στις %s):"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product SKU","SKU Προϊόντος"
"Products Reviews","Αξιολογήσεις για Προϊόντα"
"Qty","Ποσ."
"Rating:","Βαθμολογία:"
"Review","Αξιολόγηση"
"Review (submitted on %s):","Αξιολόγηση (υποβλήθηκε την %s)"
"Review by %s","Αξιολόγηση από %s"
"Review Details","Λεπτομέρειες Αξιολόγησης"
"Review Form Fields Before","Προηγούμενα Πεδία Φόρμας Αξιολόγησης"
"Review by <span>%s</span>","Αξιολόγηση από <span>%s</span>"
"Review can\'t be empty","Το πεδίο ""Αξιολόγηση"" δεν πρέπει να είναι άδειο"
"Review summary can\'t be empty","Το πεδίο ""Περίληψη Αξιολόγησης"" δεν πρέπει να είναι άδειο"
"Reviews and Ratings","Αξιολογήσεις και Βαθμολογήσεις"
"SKU","SKU"
"Save Review","Αποθήκευση Αξιολόγησης"
"Status","Κατάσταση"
"Submit Review","Υποβολή Αξιολόγησης"
"Summary Rating","Βαθμολογία Περίληψης"
"Summary of Review","Περίληψη Αξιολόγησης"
"Summary of Your Review","Περίληψη της Αξιολόγησης σας"
"Title","Τίτλος"
"Type","Τύπος"
"Unable to post the review.","Δεν είναι δυνατόν να δημοσιεύσετε την αξιολόγηση."
"Update Status","Κατάσταση Ενημέρωσης"
"View All Reviews","Προβολή Όλων των Αξιολογήσεων"
"View Details","Εμφάνιση Λεπτομερειών"
"Visible In","Ορατή σε"
"Websites","Ιστότοποι"
"What's your nickname?","Ποιο είναι το ψευδώνυμό σας;"
"Write Your Own Review","Γράψτε τη Δικιά σας Αξιολόγηση"
"You have submitted no reviews.","Δεν έχετε υποβάλει καμία αξιολόγηση."
"You're reviewing:","Αξιολογείτε: "
"Your Rating:","Η Βαθμολογία σας:"
"Your Review (submitted on %s):","Η Αξιολόγηση σας (υποβλήθηκε στις %s):"
"Your review has been accepted for moderation.","Η Αξιολόγησή σας έγινε δεκτή για έλεγχο από τον διαχειριστή."
