"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Οι Κανόνες Τιμών του Καλαθιού βασίζονται στο ""%s"" χαρακτηριστικό που έχει απενεργοποιηθεί."
"%s Coupon(s) have been generated","%s Κουπόνι (-α) έχει δημιουργηθεί"
"Actions","Ενέργειες"
"Inactive","Ανενεργό"
"Item totals are not set for rule.","Σύνολα τεμαχίων δεν έχουν οριστεί για τον κανόνα."
"Labels","Επιγραφές"
"Manage Coupon Codes","Διαχειριστείτε Κωδικούς Κουπονιών"
"Maximum Qty Discount is Applied To","Μέγιστη Ποσοτική Έκπτωση εφαρμόζεται στο"
"NOT FOUND","ΔΕΝ ΒΡΕΘΗΚΕ "
"NOT LOGGED IN","ΔΕΝ ΕΙΣΤΕ ΣΥΝΔΕΔΕΜΕΝΟΣ"
"New Rule","Νέος Κανόνας"
"No","Όχι"
"No Coupon","Όχι κουπόνι"
"Not valid data provided","Δεν Ισχύουν τα στοιχεία που παρέχονται"
"Number of Uses","Αριθμός χρήσεων"
"Numeric","Αριθμητικό"
"Payment Method","Μέθοδος Πληρωμής"
"Percent of product price discount","Ποσοστό τιμής προϊόντος προς έκπτωση"
"Period","Περίοδος"
"Price in cart","Τιμή στο καλάθι"
"Priority","Προτεραιότητα"
"Product attribute combination","Συνδυασμός χαρακτηριστικών πρϊόντος"
"Products subselection","Προϊόντα υποεπιλογής"
"Promotions","Προσφορές"
"Public In RSS Feed","Δημόσιο στο RSS Feed"
"Quantity in cart","Ποσότητα στο καλάθι"
"Row total in cart","Σύνολο γραμμής στο καλάθι"
"Rule Information","Πληροφορίες Κανόνα"
"Rule Name","Όνομα Κανόνα"
"Rule is not defined","Ο Κανόνας δεν ορίζεται"
"Sales Discount Amount","Ποσό έκπτωσης Πωλήσεων"
"Sales Subtotal Amount","Μερικό Σύνολο Πωλήσεων"
"Sales Total Amount","Γενικό Σύνολο Πωλήσεων"
"Save and Continue Edit","Αποθήκευση και Συνέχιση της Επεξεργασίας"
"Shipping Country","Χώρα Αποστολής"
"Shipping Method","Μέθοδος Αποστολής"
"Shipping Postcode","Ταχ. Κωδικός Αποστολής"
"Shipping Region","Περιοχή Αποστολής"
"Shipping State/Province","Νομός/Δήμος Αποστολής"
"Shopping Cart Price Rule","Κανόνας Τιμής του Καλαθιού Αγοράς"
"Shopping Cart Price Rules","Κανόνες Τιμών Καλαθιού Αγορών"
"Special Price","Ειδική Τιμή"
"Specific Coupon","Ειδικό Κουπόνι"
"Status","Κατάσταση"
"Stop Further Rules Processing","Σταματήστε την Επεξεργασία πρόσθετων Κανόνων "
"Store View Specific Labels","Ειδικές Επιγραφές στην Όψη Καταστήματος"
"Subtotal","Μερικό Σύνολο"
"Subtotal Amount","Ποσό Μερικού Συνόλου"
"The rule has been deleted.","Ο κανόνας έχει διαγραφεί."
"The rule has been saved.","Ο κανόνας έχει αποθηκευτεί."
"This rule no longer exists.","Αυτός ο κανόνας δεν υπάρχει πλέον."
"Times Used","Φορές που Χρησιμοποιήθηκε "
"To Date","Έως Ημ/νία"
"To Fixed Value","Έως Σταθερή Τιμή"
"To Percentage","Έως Ποσοστό"
"Total","Σύνολο"
"Total Amount","Ποσό Γενικού Συνόλου"
"Total Items Quantity","Συνολική Ποσότητα Ειδών"
"Total Weight","συνολικό Βάρος"
"Unable to create requested Coupon Qty. Please check settings and try again.","Δεν είναι δυνατόν να δημιουργηθεί αίτημα για Ποσότητα Κουπονιών. Παρακαλούμε ελέγξτε τις ρυθμίσεις και προσπαθήστε ξανά. "
"Unable to find a rule to delete.","Αδύνατον να βρεθεί κανόνας για να διαγραφεί."
"Update prices using the following information","Ενημέρωση τιμών σύμφωνα με τα ακόλουθα στοιχεία"
"Update product's %s %s: %s","Ενημέρωση %s %s προϊόντος: %s"
"Update the Product","Ενημέρωση Προϊόντος"
"Usage limit enforced for logged in customers only",""
"Use Auto Generation","Χρησιμοποιείστε Αυτόματη Δημιουργία"
"Used","Χρησιμοποιημένο "
"Uses per Coupon","Χρήσεις κατά Κουπόνι"
"Uses per Customer","Χρήσεις κατά Πελάτη"
"Website","Ιστότοπος"
"Websites","Ιστότοποι"
"Wrong rule specified.","Καθορίστηκε Λάθος κανόνας"
"Yes","Ναι"
"total amount","συνολικό ποσό"
"total quantity","συνολική ποσότητα"
